Taxon,Mean_SHAP,Published_Effect,Direction,SHAP_Direction,Rank,Agreement,RF_Importance,N_IBD_Studies
Parvimonas,0.07162159183220138,7.157008,IBD↑,IBD↓,1,False,5.45921946763471e-05,2
Carnobacterium,0.06709147690398871,10.356049,IBD↑,IBD↑,2,True,0.0720552518827168,2
Phascolarctobacterium,0.06396156571349346,-6.3212815,IBD↓,IBD↑,3,False,0.1288433079052457,3
Finegoldia,0.04807901910173398,5.327199,IBD↑,IBD↓,4,False,0.08387109557717387,2
Peptoniphilus,0.04494855824926744,4.951234,IBD↑,IBD↑,5,True,2.0346162104012232e-05,2
Akkermansia,0.04002084907029114,6.1152370000000005,IBD↑,IBD↓,6,False,0.09171410250100061,3
Mitsuokella,0.03196828425904688,-6.603321,IBD↓,IBD↓,7,True,0.053072858608399234,3
Turicibacter,0.024999219278012404,4.5616935000000005,IBD↑,IBD↑,8,True,1.706532785249917e-05,3
Faecalibacterium,0.024218773233525233,-5.1045032500000005,IBD↓,IBD↑,9,False,4.7632874137981164e-05,5
Megasphaera,0.012206286023698826,4.318108666666666,IBD↑,IBD↓,10,False,1.116150200989097e-05,4
Rothia,0.011524314479110433,4.161093,IBD↑,IBD↓,11,False,1.109988544330149e-05,2
Alistipes,0.009289543359955361,-1.9486503333333334,IBD↓,IBD↓,12,True,0.03263695962485945,4
Haemophilus,0.007174222536273164,3.104406666666667,IBD↑,IBD↑,13,True,0.018042912150269173,4
Veillonella,0.006950198870564642,3.3577556666666664,IBD↑,IBD↑,14,True,5.801684519398962e-05,4
Bilophila,0.0051927309461396705,3.1685926666666666,IBD↑,IBD↑,15,True,0.12257752335160041,4
Escherichia_Shigella,0.004945402408029574,3.3811549999999997,IBD↑,IBD↓,16,False,0.06678822668669503,5
Prevotella_9,0.0036281043984626314,-1.4593005,IBD↓,IBD↑,17,False,0.003372669286174527,5
Klebsiella,0.003170498864503214,2.867254,IBD↑,IBD↓,18,False,0.028164788683006453,2
